x,y,space,comm_range,disruption_range,R,nb_tag_loc,sink_allocation,nb_sink,nb_ch,agregation,directory,dist_sink
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-0.1/,0.1
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-2/,2
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-5/,5
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-6/,6
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-7.5/,7.5
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-9/,9
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-12/,12
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-13.5/,13.5
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-15/,15
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-16.5/,16.5
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-18/,18
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-19.5/,19.5
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-21/,21
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-22.5/,22.5
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-24/,24
20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-25.5/,25.5

20,20,1,1.5,2,1,1,worst,1,1,1,./result/ch1-agr1-worst-dist-30/,30
