x,y,space,comm_range,disruption_range,R,nb_tag_loc,sink_allocation,nb_sink,nb_ch,agregation,directory,dist_sink,max_queue
20,20,1,1.5,2,1,1,best,2,8,1,./result/ch8-agr1-sink2-dist-13.5/,13.5,28
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-13.5/,13.5,28
20,20,1,1.5,2,1,1,best,4,8,1,./result/ch8-agr1-sink4-dist-13.5/,13.5,28
20,20,1,1.5,2,1,1,best,5,8,1,./result/ch8-agr1-sink5-dist-13.5/,13.5,28
20,20,1,1.5,2,1,1,best,9,8,1,./result/ch8-agr1-sink9-dist-13.5/,13.5,28
20,20,1,1.5,2,1,1,best,18,8,1,./result/ch8-agr1-sink18-dist-13.5/,13.5,28
20,20,1,1.5,2,1,1,best,2,8,14,./result/ch8-agr14-sink2-dist-13.5/,13.5,28
20,20,1,1.5,2,1,1,best,3,8,14,./result/ch8-agr14-sink3-dist-13.5/,13.5,28
20,20,1,1.5,2,1,1,best,4,8,14,./result/ch8-agr14-sink4-dist-13.5/,13.5,28
20,20,1,1.5,2,1,1,best,5,8,14,./result/ch8-agr14-sink5-dist-13.5/,13.5,28
20,20,1,1.5,2,1,1,best,9,8,14,./result/ch8-agr14-sink9-dist-13.5/,13.5,28
20,20,1,1.5,2,1,1,best,18,8,14,./result/ch8-agr14-sink18-dist-13.5/,13.5,28
