x,y,space,comm_range,disruption_range,R,nb_tag_loc,sink_allocation,nb_sink,nb_ch,agregation,directory,dist_sink,max_queue
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-0.1/,0.1,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-0.71/,0.71,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-1.6/,1.6,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-2/,2,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-2.5/,2.5,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-3/,3,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-4/,4,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-4.5/,4.5,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-5/,5,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-5.5/,5.5,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-6/,6,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-6.5/,6.5,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-7/,7,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-7.5/,7.5,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-8/,8,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-8.5/,8.5,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-9/,9,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-9.5/,9.5,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-10/,10,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-10.0/,10.0,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-11/,11,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-11.5/,11.5,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-12/,12,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-12.5/,12.5,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-13/,13,28
20,20,1,1.5,2,1,1,all,440,8,1,./result/ch8-agr1-sink440-dist-13.5/,13.5,28
